,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
773,He's as free as a death-row inmate.,He's very free.,He's not free at all.,1,inmate,"confined, isolated, restricted","He's as free as a death-row inmate. Characteristics of inmate include: confined, isolated, restricted."
774,Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,0,Silk,"smooth, luxurious, delicate","Hollywood is as genuine as Silk. Characteristics of Silk include: smooth, luxurious, delicate."
775,Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,1,Rayon,"Versatile, synthetic, lustrous","Hollywood is as genuine as Rayon. Characteristics of Rayon include: Versatile, synthetic, lustrous."
776,Jake was floating on the lake like Dandelion seeds floating in the air.,Jake was floating like he was weightless.,Jake was too heavy to float.,0,seeds,"Potential, transformative, fertile","Jake was floating on the lake like Dandelion seeds floating in the air. Characteristics of seeds include: Potential, transformative, fertile."
777,Jake was floating on the lake like Concrete shoes,Jake was floating like he was weightless.,Jake was too heavy to float.,1,shoes,"Versatile, Protective, Fashionable","Jake was floating on the lake like Concrete shoes. Characteristics of shoes include: Versatile, Protective, Fashionable."
778,Life is as easy as Kindergarten for a high school senior.,Life is basic.,Life is beyond comprehension.,0,Kindergarten,"Educational, Nurturing, Playful","Life is as easy as Kindergarten for a high school senior. Characteristics of Kindergarten include: Educational, Nurturing, Playful."
779,Life is as easy as Kindergarten for a newborn.,Life is basic.,Life is beyond comprehension.,1,Kindergarten,"playful, nurturing, transformative","Life is as easy as Kindergarten for a newborn. Characteristics of Kindergarten include: playful, nurturing, transformative."
780,She was as sweet as the days are long,She is very sweet,She isn't sweet at all,0,days,"enduring, fleeting, cyclical","She was as sweet as the days are long. Characteristics of days include: enduring, fleeting, cyclical."
781,She was as sweet as vinegar,She is very sweet,She isn't sweet at all,1,vinegar,"Sour, pungent, acidic","She was as sweet as vinegar. Characteristics of vinegar include: Sour, pungent, acidic."
782,He's as deep as a puddle,He doesn't have a lot of insight,He has a great deal of insight,0,puddle,"wet, shallow, temporary","He's as deep as a puddle. Characteristics of puddle include: wet, shallow, temporary."
783,He's as deep as the sea,He doesn't have a lot of insight,He has a great deal of insight,1,sea,"Vast, serene, mysterious.","He's as deep as the sea. Characteristics of sea include: Vast, serene, mysterious."
784,My aunt has a heart of gold,"My aunt is very generous, loving","My aunt is very cold, stoic",0,heart,"emotional, compassionate, courageous","My aunt has a heart of gold. Characteristics of heart include: emotional, compassionate, courageous."
785,My aunt has a heart of steel,"My aunt is very generous, loving","My aunt is very cold, stoic",1,steel,"strong, durable, resilient","My aunt has a heart of steel. Characteristics of steel include: strong, durable, resilient."
786,The mean girl has the depth of a kiddie pool.,The mean girl is superficial.,The mean girl is deep.,0,pool,"deep, refreshing, communal","The mean girl has the depth of a kiddie pool. Characteristics of pool include: deep, refreshing, communal."
787,The mean girl has the depth of the sea.,The mean girl is superficial.,The mean girl is deep.,1,sea,"vast, mysterious, alluring","The mean girl has the depth of the sea. Characteristics of sea include: vast, mysterious, alluring."
788,The actor is a yeti.,The actor is hairy.,The actor is hairless.,0,yeti,"mysterious, elusive, mythical","The actor is a yeti. Characteristics of yeti include: mysterious, elusive, mythical."
789,The actor is a baby's bottom.,The actor is hairy.,The actor is hairless.,1,bottom,"accessible, foundational, crucial","The actor is a baby's bottom. Characteristics of bottom include: accessible, foundational, crucial."
790,The girl was as short as the Eiffel Tower,The girl was tall.,The girl was very short.,0,Eiffel Tower,"iconic, majestic, towering","The girl was as short as the Eiffel Tower. Characteristics of Eiffel Tower include: iconic, majestic, towering."
791,The girl was as short as a second,The girl was tall.,The girl was very short.,1,second,"Quick, brief, alternate","The girl was as short as a second. Characteristics of second include: Quick, brief, alternate."
792,The man's heart was as big as the sea,The man had endless love.,The man was stingy about his love.,0,sea,"vast, majestic, mysterious","The man's heart was as big as the sea. Characteristics of sea include: vast, majestic, mysterious."
793,The man's heart was as big as a pea,The man had endless love.,The man was stingy about his love.,1,pea,"small, round, nutritious","The man's heart was as big as a pea. Characteristics of pea include: small, round, nutritious."
794,The boy's voice was as loud as a ship's whistle,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,0,whistle,"high-pitched, piercing, melodious","The boy's voice was as loud as a ship's whistle. Characteristics of whistle include: high-pitched, piercing, melodious."
795,The boy's voice was as loud as a fish,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,1,fish,"slippery, agile, diverse","The boy's voice was as loud as a fish. Characteristics of fish include: slippery, agile, diverse."
796,They left town like a jet,They left town quickly.,They left town slowly.,0,jet,"fast, powerful, sleek","They left town like a jet. Characteristics of jet include: fast, powerful, sleek."
797,They left town like a herd of turtles,They left town quickly.,They left town slowly.,1,turtles,"ancient, resilient, wise","They left town like a herd of turtles. Characteristics of turtles include: ancient, resilient, wise."
798,It had the consistency of water,It was liquid.,It was solid.,0,water,"Refreshing, essential, life-giving","It had the consistency of water. Characteristics of water include: Refreshing, essential, life-giving."
799,It had the consistency of concrete,It was liquid.,It was solid.,1,concrete,"Solid, strong, durable","It had the consistency of concrete. Characteristics of concrete include: Solid, strong, durable."
800,Living in a city is like Living with metal trees.,Is not natural or close to nature.,City life is easy and comfortable.,0,trees,"Majestic, resilient, life-giving","Living in a city is like Living with metal trees. Characteristics of trees include: Majestic, resilient, life-giving."
801,Living in a city is like a walk along the lake shore.,Is not natural or close to nature.,City life is easy and comfortable.,1,shore,"narrow, endless, serene","Living in a city is like a walk along the lake shore. Characteristics of shore include: narrow, endless, serene."
802,Life is like skydiving,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,0,skydiving,"adrenaline-fueled, exhilarating, gravity-defying","Life is like skydiving. Characteristics of skydiving include: adrenaline-fueled, exhilarating, gravity-defying."
803,Life is like cycling.,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,1,cycling,"Revitalizing, transformative, invigorating","Life is like cycling. Characteristics of cycling include: Revitalizing, transformative, invigorating."
804,Your career is like a flowing river.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,0,river,"meandering, flowing, eternal","Your career is like a flowing river. Characteristics of river include: meandering, flowing, eternal."
805,Your career is like a roller coaster ride.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,1,roller coaster,"Exciting, thrilling, unpredictable","Your career is like a roller coaster ride. Characteristics of roller coaster include: Exciting, thrilling, unpredictable."
